Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status,Distancia_km
2025-06-12 07:29:44,,,867488061317839,9266,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 07:30:12,,,867488061317839,9266,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 07:31:23,2025-06-12 07:31:22,2025-06-12 07:31:20,867488061317839,9267,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,14150,0,-,40,0,22,12,-,1,25.9,240,533,-23.292881,-51.139138,724,6,0be3,3806,6.3,2180.6,0:06:09,0:39:12,-,-,0,-,,,,,1,900,0,0,10,,
2025-06-12 07:31:43,,,867488061317839,9268,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 07:33:43,,,867488061317839,9269,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 07:34:22,2025-06-12 07:34:22,2025-06-12 07:34:20,867488061317839,9270,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,14116,0,-,40,0,22,12,-,1,0.0,240,508,-23.292899,-51.150564,724,6,0be3,00002d5c,7.5,2181.8,0:09:09,0:42:12,-,-,0,-,,,,,1,900,0,0,10,,
2025-06-12 07:35:43,,,867488061317839,9271,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 07:37:23,2025-06-12 07:37:22,2025-06-12 07:37:21,867488061317839,9272,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13760,0,-,40,0,22,12,-,1,62.5,270,537,-23.292862,-51.158743,724,6,0be3,00002d5c,8.3,2182.6,0:12:09,0:45:12,-,-,0,-,,,,,1,900,0,0,10,,
2025-06-12 07:37:43,,,867488061317839,9273,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 07:39:44,,,867488061317839,9274,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 07:40:23,2025-06-12 07:40:22,2025-06-12 07:40:21,867488061317839,9275,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13578,0,-,40,0,22,12,-,1,0.0,270,545,-23.292328,-51.172783,724,6,0be3,00002dc9,9.7,2184.0,0:15:09,0:48:12,-,-,0,-,,,,,1,900,0,0,10,,
2025-06-12 07:41:44,,,867488061317839,9276,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 07:44:43,2025-06-12 07:43:22,2025-06-12 07:43:20,867488061317839,9277,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13599,0,-,40,0,22,12,-,1,10.9,183,601,-23.298632,-51.173546,724,6,0be3,00002dc9,10.4,2184.7,0:18:09,0:51:12,-,-,0,-,,,,,1,900,0,0,10,,
2025-06-12 07:44:43,,,867488061317839,9278,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 07:46:22,2025-06-12 07:46:22,2025-06-12 07:46:21,867488061317839,9279,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13505,0,-,40,0,22,12,-,1,18.5,169,609,-23.302116,-51.179138,724,6,0be3,2757,11.3,2185.6,0:21:09,0:54:12,-,-,0,-,,,,,1,900,0,0,10,,
2025-06-12 07:46:44,,,867488061317839,9280,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 07:48:45,,,867488061317839,9281,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 07:49:05,2025-06-12 07:49:02,2025-06-12 07:49:02,867488061317839,9282,GTSTT,0x09fe7fbf,,802003,0x0a04,0x0a14,100,13464,0,0,40,0,21,12,-,1,0.0,169,609,-23.31207,-51.177765,724,6,0be3,00002dd5,12.4,2186.7,0:23:48,0:56:51,-,-,0,-,,,,,,,,,,,
2025-06-12 07:49:08,2025-06-12 07:49:07,2025-06-12 07:49:06,867488061317839,9283,GTSTT,0x09fe7fbf,,802003,0x0a04,0x0a14,100,13545,0,0,40,0,22,12,-,1,0.0,174,609,-23.31207,-51.177765,724,6,0be3,00002dd5,12.4,2186.7,0:23:54,0:56:57,-,-,0,-,,,,,,,,,,,
2025-06-12 07:49:30,2025-06-12 07:49:22,2025-06-12 07:49:20,867488061317839,9284,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13560,0,-,40,0,22,12,-,1,24.6,173,613,-23.312749,-51.177672,724,6,0be3,00002dd5,12.5,2186.8,0:24:09,0:57:12,-,-,0,-,,,,,1,900,0,0,10,,
2025-06-12 07:50:44,,,867488061317839,9285,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 07:55:22,,,867488061317839,9287,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 07:55:23,2025-06-12 07:52:22,2025-06-12 07:52:21,867488061317839,9286,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13556,0,-,40,0,22,12,-,1,43.0,173,594,-23.319009,-51.176772,724,6,0be3,000032e7,13.1,2187.4,0:27:09,1:00:12,-,-,0,-,,,,,1,900,0,0,10,,
2025-06-12 07:55:23,2025-06-12 07:55:23,2025-06-12 07:55:22,867488061317839,9288,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13642,0,-,40,0,22,9,-,1,31.0,185,557,-23.328968,-51.177411,724,6,0be3,00002dd5,14.3,2188.6,0:30:09,1:03:12,-,-,0,-,,,,,1,850,0,0,10,,
2025-06-12 08:04:24,,,867488061317839,9290,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 08:04:25,2025-06-12 07:57:14,2025-06-12 07:56:03,867488061317839,9289,GTSTT,0x09fe7fbf,,802003,0x0a04,0x0a14,100,13087,0,0,0,0,21,4,-,0,12.4,216,573,-23.330243,-51.178124,0,0,0,0,14.5,2188.8,0:32:00,1:05:03,-,-,0,-,,,,,,,,,,,
2025-06-12 08:04:25,2025-06-12 07:58:23,2025-06-12 07:55:22,867488061317839,9291,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13140,0,-,0,0,21,9,-,0,31.0,185,557,-23.328968,-51.177411,0,0,0,0,14.5,2188.8,0:33:09,1:06:12,-,-,0,-,,,,,0,0,0,0,10,,
2025-06-12 08:04:26,2025-06-12 07:59:15,2025-06-12 07:56:03,867488061317839,9292,GTVGF,0x09fe7fbf,,802003,0x0a04,0x0a14,100,13123,0,0,0,0,11,4,000007fa,0,12.4,216,573,-23.330243,-51.178124,0,0,0,0,14.5,2188.8,0:34:00,1:07:03,-,-,0,-,,,,,,,,,,,
