Sequência,veiPlaca,Tipo Dispositivo,IMEI,GNSS UTC Time,Data/Hora Inclusão,Data/Hora Evento,Azimuth,delay,Latitude,Longitude,Satélites,GPS,Velocidade,Bateria (V),mrvlog,tdeID,Tipo Mensagem,Hodômetro Total
17,SUR6A68,385349,862689070242307,2025-06-12 06:19:48,2025-06-12 06:20:09.970,2025-06-12 06:19:53,71.00000,16,-23.52560,-47.51832,18,Válido,93,12524,0,761,GTERI,1930.00
18,SUR6A68,385349,862689070242307,2025-06-12 06:22:48,2025-06-12 06:22:53.957,2025-06-12 06:22:53,78.00000,0,-23.53146,-47.47483,16,Válido,101,14181,0,761,GTERI,1935.00
19,SUR6A68,385349,862689070242307,2025-06-12 06:25:48,2025-06-12 06:25:53.803,2025-06-12 06:25:53,54.00000,0,-23.51660,-47.43111,15,Válido,104,14173,0,761,GTERI,1939.90
20,SUR6A68,385349,862689070242307,2025-06-12 06:28:48,2025-06-12 06:28:53.670,2025-06-12 06:28:53,95.00000,0,-23.49469,-47.39922,14,Válido,84,14477,0,761,GTERI,1944.10
21,SUR6A68,385349,862689070242307,2025-06-12 06:31:48,2025-06-12 06:31:53.937,2025-06-12 06:31:53,25.00000,0,-23.46450,-47.38128,14,Válido,107,14181,0,761,GTERI,1948.70
22,SUR6A68,385349,862689070242307,2025-06-12 06:34:48,2025-06-12 06:34:53.870,2025-06-12 06:34:53,52.00000,0,-23.43656,-47.37493,14,Válido,24,14701,0,761,GTERI,1952.50
23,SUR6A68,385349,862689070242307,2025-06-12 06:37:48,2025-06-12 06:37:53.863,2025-06-12 06:37:53,47.00000,0,-23.41568,-47.34542,13,Válido,76,12972,0,761,GTERI,1956.40
24,SUR6A68,385349,862689070242307,2025-06-12 06:40:48,2025-06-12 06:41:49.607,2025-06-12 06:40:53,292.00000,56,-23.39689,-47.34712,13,Válido,100,14141,0,761,GTERI,1960.50
25,SUR6A68,385349,862689070242307,2025-06-12 06:43:48,2025-06-12 06:43:54.490,2025-06-12 06:43:53,287.00000,1,-23.38057,-47.39763,14,Válido,105,14181,0,761,GTERI,1966.00
26,SUR6A68,385349,862689070242307,2025-06-12 06:46:48,2025-06-12 06:46:54.877,2025-06-12 06:46:53,280.00000,1,-23.37157,-47.44784,15,Válido,98,12532,0,761,GTERI,1971.20
27,SUR6A68,385349,862689070242307,2025-06-12 06:49:48,2025-06-12 06:50:12.543,2025-06-12 06:49:53,287.00000,19,-23.35788,-47.49771,16,Válido,110,14189,0,761,GTERI,1976.60
28,SUR6A68,385349,862689070242307,2025-06-12 06:52:48,2025-06-12 06:52:54.037,2025-06-12 06:52:53,0.00000,1,-23.33262,-47.52920,17,Válido,80,12524,0,761,GTERI,1981.30
29,SUR6A68,385349,862689070242307,2025-06-12 06:55:48,2025-06-12 06:58:08.453,2025-06-12 06:55:53,21.00000,135,-23.29779,-47.53241,16,Válido,71,14982,1,761,GTERI,1985.30
30,SUR6A68,385349,862689070242307,2025-06-12 06:58:48,2025-06-12 06:59:34.113,2025-06-12 06:58:53,356.00000,41,-23.26606,-47.52099,18,Válido,80,14589,0,761,GTERI,1989.00
31,SUR6A68,385349,862689070242307,2025-06-12 07:01:48,2025-06-12 07:01:57.057,2025-06-12 07:01:53,81.00000,4,-23.23385,-47.51471,16,Válido,83,14165,0,761,GTERI,1993.10
32,SUR6A68,385349,862689070242307,2025-06-12 07:04:51,2025-06-12 07:05:09.530,2025-06-12 07:04:52,279.00000,17,-23.22660,-47.50995,16,Válido,0,14141,0,668,GTIGF,1995.00
33,SUR6A68,385349,862689070242307,2025-06-12 07:04:52,2025-06-12 07:05:10.307,2025-06-12 07:04:52,279.00000,18,-23.22660,-47.50995,17,Válido,0,14141,0,760,Modo Econômico,1995.00
34,SUR6A68,385349,862689070242307,2025-06-12 07:04:52,2025-06-12 07:57:17.070,2025-06-12 07:57:16,279.00000,1,-23.22660,-47.50995,17,Válido,0,12756,0,667,GTIGN,1995.00
35,SUR6A68,385349,862689070242307,2025-06-12 07:57:29,2025-06-12 07:57:29.787,2025-06-12 07:57:29,142.00000,0,-23.22654,-47.50977,10,Válido,6,12348,0,761,GTERI,1995.00
36,SUR6A68,385349,862689070242307,2025-06-12 08:00:23,2025-06-12 08:00:28.837,2025-06-12 08:00:28,272.00000,0,-23.23270,-47.52482,14,Válido,111,13701,0,761,GTERI,1997.20
37,SUR6A68,385349,862689070242307,2025-06-12 08:03:23,2025-06-12 08:03:28.817,2025-06-12 08:03:28,305.00000,0,-23.22561,-47.56961,13,Válido,70,12396,0,761,GTERI,2002.00
38,SUR6A68,385349,862689070242307,2025-06-12 08:06:23,2025-06-12 08:06:28.843,2025-06-12 08:06:28,312.00000,0,-23.20423,-47.60106,14,Válido,108,14165,0,761,GTERI,2006.80
39,SUR6A68,385349,862689070242307,2025-06-12 08:08:45,2025-06-12 08:08:46.660,2025-06-12 08:08:45,326.00000,1,-23.18682,-47.63433,14,Válido,121,14173,0,737,Velocidade máxima excedida,2010.70
40,SUR6A68,385349,862689070242307,2025-06-12 08:08:48,2025-06-12 08:08:48.973,2025-06-12 08:08:48,327.00000,0,-23.18606,-47.63484,14,Válido,117,14141,0,871,Retorno à velocidade normal,2010.80
41,SUR6A68,385349,862689070242307,2025-06-12 08:09:23,2025-06-12 08:09:28.863,2025-06-12 08:09:28,340.00000,0,-23.17807,-47.64016,13,Válido,109,14173,0,761,GTERI,2012.00
42,SUR6A68,385349,862689070242307,2025-06-12 08:12:24,2025-06-12 08:12:28.707,2025-06-12 08:12:28,314.00000,0,-23.14321,-47.67286,14,Válido,95,14149,0,761,GTERI,2017.30
43,SUR6A68,385349,862689070242307,2025-06-12 08:15:23,2025-06-12 08:15:28.767,2025-06-12 08:15:28,275.00000,0,-23.11906,-47.70630,15,Válido,106,14917,0,761,GTERI,2022.00
44,SUR6A68,385349,862689070242307,2025-06-12 08:18:23,2025-06-12 08:18:28.987,2025-06-12 08:18:28,24.00000,0,-23.08976,-47.72146,15,Válido,101,14157,0,761,GTERI,2026.60
45,SUR6A68,385349,862689070242307,2025-06-12 08:21:23,2025-06-12 08:21:29.987,2025-06-12 08:21:28,12.00000,1,-23.05349,-47.72124,16,Válido,91,12099,0,761,GTERI,2031.40
46,SUR6A68,385349,862689070242307,2025-06-12 08:24:23,2025-06-12 08:28:55.930,2025-06-12 08:24:28,356.00000,267,-23.00987,-47.71709,16,Válido,96,14173,1,761,GTERI,2036.50
47,SUR6A68,385349,862689070242307,2025-06-12 08:27:23,2025-06-12 08:29:15.347,2025-06-12 08:27:28,356.00000,107,-22.96626,-47.71644,16,Válido,105,14149,1,761,GTERI,2041.30
48,SUR6A68,385349,862689070242307,2025-06-12 08:30:23,2025-06-12 08:34:43.233,2025-06-12 08:30:28,23.00000,255,-22.92052,-47.71559,14,Válido,93,12163,1,761,GTERI,2046.50
49,SUR6A68,385349,862689070242307,2025-06-12 08:33:23,2025-06-12 08:34:44.227,2025-06-12 08:33:28,21.00000,76,-22.88612,-47.69631,15,Válido,101,12187,1,761,GTERI,2050.90
50,SUR6A68,385349,862689070242307,2025-06-12 08:36:23,2025-06-12 08:36:33.970,2025-06-12 08:36:28,29.00000,5,-22.84650,-47.68051,15,Válido,17,13308,0,761,GTERI,2055.70
51,SUR6A68,385349,862689070242307,2025-06-12 08:39:24,2025-06-12 08:39:30.500,2025-06-12 08:39:28,22.00000,2,-22.80532,-47.66283,16,Válido,108,14669,0,761,GTERI,2060.70
52,SUR6A68,385349,862689070242307,2025-06-12 08:42:23,2025-06-12 08:42:28.847,2025-06-12 08:42:28,20.00000,0,-22.76615,-47.64575,16,Válido,0,12219,0,761,GTERI,2065.30
53,SUR6A68,385349,862689070242307,2025-06-12 08:45:24,2025-06-12 08:45:28.880,2025-06-12 08:45:28,81.00000,0,-22.75740,-47.64410,16,Válido,41,12251,0,761,GTERI,2066.50
54,SUR6A68,385349,862689070242307,2025-06-12 08:48:24,2025-06-12 08:48:28.843,2025-06-12 08:48:28,334.00000,0,-22.74094,-47.64636,13,Válido,39,12259,0,761,GTERI,2068.50
55,SUR6A68,385349,862689070242307,2025-06-12 08:51:24,2025-06-12 08:51:28.857,2025-06-12 08:51:28,13.00000,0,-22.73055,-47.64721,12,Válido,19,12211,0,761,GTERI,2069.70
56,SUR6A68,385349,862689070242307,2025-06-12 08:54:23,2025-06-12 08:54:28.927,2025-06-12 08:54:28,15.00000,0,-22.72430,-47.64531,11,Válido,54,12572,0,761,GTERI,2070.50
57,SUR6A68,385349,862689070242307,2025-06-12 08:57:23,2025-06-12 08:57:31.170,2025-06-12 08:57:28,298.00000,3,-22.71450,-47.65077,14,Válido,51,12588,0,761,GTERI,2072.00
58,SUR6A68,385349,862689070242307,2025-06-12 09:00:23,2025-06-12 09:00:29.367,2025-06-12 09:00:28,63.00000,1,-22.70557,-47.65161,15,Válido,10,12268,0,761,GTERI,2073.50
59,SUR6A68,385349,862689070242307,2025-06-12 09:03:23,2025-06-12 09:03:28.747,2025-06-12 09:03:28,62.00000,0,-22.70536,-47.65120,15,Válido,9,12276,0,761,GTERI,2073.50
60,SUR6A68,385349,862689070242307,2025-06-12 09:04:08,2025-06-12 09:04:09.147,2025-06-12 09:04:08,128.00000,1,-22.70474,-47.65139,13,Válido,0,12268,0,760,Modo Econômico,2073.60
61,SUR6A68,385349,862689070242307,2025-06-12 09:04:07,2025-06-12 09:04:08.870,2025-06-12 09:04:08,128.00000,0,-22.70474,-47.65139,13,Válido,0,12276,0,668,GTIGF,2073.60
62,SUR6A68,385349,862689070242307,2025-06-12 09:04:08,2025-06-12 09:54:02.950,2025-06-12 09:54:02,128.00000,0,-22.70474,-47.65139,13,Válido,0,12620,0,667,GTIGN,2073.60
63,SUR6A68,385349,862689070242307,2025-06-12 09:54:09,2025-06-12 09:54:10.507,2025-06-12 09:54:09,2.00000,1,-22.70485,-47.65130,8,Válido,2,12324,0,761,GTERI,2073.60
64,SUR6A68,385349,862689070242307,2025-06-12 09:57:03,2025-06-12 09:57:08.880,2025-06-12 09:57:08,165.00000,0,-22.70522,-47.65121,17,Válido,12,13797,0,761,GTERI,2073.60
65,SUR6A68,385349,862689070242307,2025-06-12 10:00:03,2025-06-12 10:00:08.837,2025-06-12 10:00:08,162.00000,0,-22.70449,-47.64766,13,Válido,43,14589,0,761,GTERI,2074.90
66,SUR6A68,385349,862689070242307,2025-06-12 10:03:03,2025-06-12 10:03:11.900,2025-06-12 10:03:08,76.00000,3,-22.71254,-47.63471,15,Válido,48,12308,0,761,GTERI,2076.60
67,SUR6A68,385349,862689070242307,2025-06-12 10:06:03,2025-06-12 10:06:10.707,2025-06-12 10:06:08,107.00000,2,-22.72024,-47.61850,16,Válido,64,14373,0,761,GTERI,2078.60
68,SUR6A68,385349,862689070242307,2025-06-12 10:09:03,2025-06-12 10:09:09.053,2025-06-12 10:09:08,96.00000,1,-22.72491,-47.57488,16,Válido,94,12388,0,761,GTERI,2083.20
69,SUR6A68,385349,862689070242307,2025-06-12 10:12:03,2025-06-12 10:12:09.060,2025-06-12 10:12:08,119.00000,1,-22.73817,-47.52833,16,Válido,103,12380,0,761,GTERI,2088.30
70,SUR6A68,385349,862689070242307,2025-06-12 10:15:03,2025-06-12 10:15:08.917,2025-06-12 10:15:08,107.00000,0,-22.75462,-47.48217,16,Válido,110,12380,0,761,GTERI,2093.40
71,SUR6A68,385349,862689070242307,2025-06-12 10:18:03,2025-06-12 10:18:10.370,2025-06-12 10:18:08,170.00000,2,-22.77170,-47.44591,13,Válido,85,12380,0,761,GTERI,2097.90
72,SUR6A68,385349,862689070242307,2025-06-12 10:21:04,2025-06-12 10:21:13.670,2025-06-12 10:21:08,121.00000,5,-22.79922,-47.40463,16,Válido,104,12364,0,761,GTERI,2103.20
73,SUR6A68,385349,862689070242307,2025-06-12 10:24:03,2025-06-12 10:24:12.770,2025-06-12 10:24:08,121.00000,4,-22.82956,-47.36453,14,Válido,107,12372,0,761,GTERI,2108.50
74,SUR6A68,385349,862689070242307,2025-06-12 10:27:03,2025-06-12 10:27:08.850,2025-06-12 10:27:08,103.00000,0,-22.85344,-47.32044,15,Válido,104,12380,0,761,GTERI,2113.80
75,SUR6A68,385349,862689070242307,2025-06-12 10:30:03,2025-06-12 10:30:11.190,2025-06-12 10:30:08,132.00000,3,-22.86793,-47.27901,14,Válido,107,14109,0,761,GTERI,2118.50
76,SUR6A68,385349,862689070242307,2025-06-12 10:33:04,2025-06-12 10:33:08.830,2025-06-12 10:33:08,127.00000,0,-22.88443,-47.23172,15,Válido,100,12364,0,761,GTERI,2123.80
77,SUR6A68,385349,862689070242307,2025-06-12 10:36:03,2025-06-12 10:36:09.037,2025-06-12 10:36:08,60.00000,1,-22.90268,-47.20255,16,Válido,67,12412,0,761,GTERI,2128.30
78,SUR6A68,385349,862689070242307,2025-06-12 10:39:03,2025-06-12 10:39:08.800,2025-06-12 10:39:08,59.00000,0,-22.88680,-47.16044,16,Válido,90,12380,0,761,GTERI,2133.10
79,SUR6A68,385349,862689070242307,2025-06-12 10:42:03,2025-06-12 10:44:29.503,2025-06-12 10:42:08,133.00000,141,-22.89641,-47.12284,15,Válido,84,14349,1,761,GTERI,2137.40
80,SUR6A68,385349,862689070242307,2025-06-12 10:45:03,2025-06-12 10:45:08.783,2025-06-12 10:45:08,314.00000,0,-22.87863,-47.11925,15,Válido,105,13044,0,761,GTERI,2141.50
81,SUR6A68,385349,862689070242307,2025-06-12 10:48:03,2025-06-12 10:48:25.967,2025-06-12 10:48:08,76.00000,17,-22.85602,-47.13440,15,Válido,80,14565,0,761,GTERI,2145.80
82,SUR6A68,385349,862689070242307,2025-06-12 10:51:04,2025-06-12 10:51:08.913,2025-06-12 10:51:08,79.00000,0,-22.84708,-47.09065,15,Válido,84,14461,0,761,GTERI,2150.40
83,SUR6A68,385349,862689070242307,2025-06-12 10:53:05,2025-06-12 10:53:06.777,2025-06-12 10:53:06,161.00000,0,-22.84455,-47.06922,15,Válido,0,12588,0,668,GTIGF,2152.50
84,SUR6A68,385349,862689070242307,2025-06-12 10:53:06,2025-06-12 10:53:12.940,2025-06-12 10:53:06,161.00000,6,-22.84455,-47.06922,14,Válido,0,12412,0,760,Modo Econômico,2152.50
85,SUR6A68,385349,862689070242307,2025-06-12 10:53:06,2025-06-12 10:53:22.743,2025-06-12 10:53:22,161.00000,0,-22.84455,-47.06922,14,Válido,0,12996,0,667,GTIGN,2152.50
86,SUR6A68,385349,862689070242307,2025-06-12 10:53:30,2025-06-12 10:53:31.310,2025-06-12 10:53:30,10.00000,1,-22.84461,-47.06913,10,Válido,0,12404,0,761,GTERI,2152.50
87,SUR6A68,385349,862689070242307,2025-06-12 10:56:23,2025-06-12 10:56:28.930,2025-06-12 10:56:28,10.00000,0,-22.84458,-47.06923,16,Válido,0,12059,0,761,GTERI,2152.50
88,SUR6A68,385349,862689070242307,2025-06-12 10:59:23,2025-06-12 10:59:28.880,2025-06-12 10:59:28,193.00000,0,-22.84491,-47.06928,16,Válido,15,14125,0,761,GTERI,2152.60
89,SUR6A68,385349,862689070242307,2025-06-12 11:00:53,2025-06-12 11:00:54.977,2025-06-12 11:00:54,165.00000,0,-22.84418,-47.06623,14,Válido,0,12932,0,668,GTIGF,2153.10
90,SUR6A68,385349,862689070242307,2025-06-12 11:00:54,2025-06-12 11:00:55.063,2025-06-12 11:00:54,165.00000,1,-22.84418,-47.06623,14,Válido,0,13028,0,760,Modo Econômico,2153.10
91,SUR6A68,385349,862689070242307,2025-06-12 11:00:54,2025-06-12 11:17:56.857,2025-06-12 11:17:56,165.00000,0,-22.84418,-47.06623,14,Válido,0,12444,0,667,GTIGN,2153.10
92,SUR6A68,385349,862689070242307,2025-06-12 11:18:03,2025-06-12 11:18:04.967,2025-06-12 11:18:04,304.00000,0,-22.84414,-47.06623,16,Válido,3,12219,0,761,GTERI,2153.10
93,SUR6A68,385349,862689070242307,2025-06-12 11:18:13,2025-06-12 11:18:14.757,2025-06-12 11:18:14,255.00000,0,-22.84409,-47.06632,17,Válido,0,12588,0,668,GTIGF,2153.10
94,SUR6A68,385349,862689070242307,2025-06-12 11:18:14,2025-06-12 11:18:14.853,2025-06-12 11:18:14,255.00000,0,-22.84409,-47.06632,16,Válido,0,12588,0,760,Modo Econômico,2153.10
95,SUR6A68,385349,862689070242307,2025-06-12 11:18:14,2025-06-12 11:46:32.940,2025-06-12 11:46:32,255.00000,0,-22.84409,-47.06632,16,Válido,0,12668,0,667,GTIGN,2153.10
96,SUR6A68,385349,862689070242307,2025-06-12 11:46:39,2025-06-12 11:46:40.763,2025-06-12 11:46:40,130.00000,0,-22.84412,-47.06606,11,Válido,12,12388,0,761,GTERI,2153.10
97,SUR6A68,385349,862689070242307,2025-06-12 11:49:33,2025-06-12 11:49:38.967,2025-06-12 11:49:38,34.00000,0,-22.84333,-47.06090,15,Válido,50,13653,0,761,GTERI,2154.90
98,SUR6A68,385349,862689070242307,2025-06-12 11:52:33,2025-06-12 11:52:39.050,2025-06-12 11:52:38,26.00000,1,-22.83925,-47.03579,16,Válido,78,13188,0,761,GTERI,2158.30
99,SUR6A68,385349,862689070242307,2025-06-12 11:55:33,2025-06-12 11:55:44.540,2025-06-12 11:55:38,4.00000,6,-22.80300,-47.03278,15,Válido,91,12452,0,761,GTERI,2162.60
100,SUR6A68,385349,862689070242307,2025-06-12 11:58:33,2025-06-12 11:58:38.907,2025-06-12 11:58:38,355.00000,0,-22.76886,-47.02167,16,Válido,76,13885,0,761,GTERI,2166.70
101,SUR6A68,385349,862689070242307,2025-06-12 11:58:54,2025-06-12 11:58:55.113,2025-06-12 11:58:54,5.00000,1,-22.76471,-47.02147,17,Válido,36,14445,0,855,Frenagem Brusca,2167.00
102,SUR6A68,385349,862689070242307,2025-06-12 12:01:33,2025-06-12 12:01:38.953,2025-06-12 12:01:38,16.00000,0,-22.73366,-47.01625,16,Válido,92,12436,0,761,GTERI,2170.70
103,SUR6A68,385349,862689070242307,2025-06-12 12:04:33,2025-06-12 12:04:38.903,2025-06-12 12:04:38,55.00000,0,-22.69482,-47.01223,17,Válido,37,13116,0,761,GTERI,2175.00
104,SUR6A68,385349,862689070242307,2025-06-12 12:07:34,2025-06-12 12:07:38.760,2025-06-12 12:07:38,355.00000,0,-22.69322,-47.01741,17,Válido,0,12380,0,761,GTERI,2176.40
105,SUR6A68,385349,862689070242307,2025-06-12 12:10:33,2025-06-12 12:10:38.963,2025-06-12 12:10:38,292.00000,0,-22.68962,-47.01806,17,Válido,20,14229,0,761,GTERI,2176.90
106,SUR6A68,385349,862689070242307,2025-06-12 12:11:37,2025-06-12 12:11:38.767,2025-06-12 12:11:38,224.00000,0,-22.69106,-47.01823,15,Válido,0,12284,0,668,GTIGF,2177.10
107,SUR6A68,385349,862689070242307,2025-06-12 12:11:38,2025-06-12 12:11:38.897,2025-06-12 12:11:38,224.00000,0,-22.69106,-47.01823,15,Válido,0,12284,0,760,Modo Econômico,2177.10
108,SUR6A68,385349,862689070242307,2025-06-12 13:09:17,2025-06-12 13:11:39.267,2025-06-12 13:11:38,224.00000,1,-22.69106,-47.01823,13,Válido,0,12780,0,760,Modo Econômico,2177.10
109,SUR6A68,385349,862689070242307,2025-06-12 14:09:16,2025-06-12 14:11:38.910,2025-06-12 14:11:38,224.00000,0,-22.69106,-47.01823,17,Válido,0,12772,0,760,Modo Econômico,2177.10
110,SUR6A68,385349,862689070242307,2025-06-12 14:09:16,2025-06-12 14:30:03.077,2025-06-12 14:30:02,224.00000,1,-22.69106,-47.01823,17,Válido,0,12628,0,667,GTIGN,2177.10
111,SUR6A68,385349,862689070242307,2025-06-12 14:30:10,2025-06-12 14:30:11.990,2025-06-12 14:30:11,264.00000,0,-22.69108,-47.01824,16,Válido,2,12019,0,761,GTERI,2177.10
112,SUR6A68,385349,862689070242307,2025-06-12 14:33:03,2025-06-12 14:33:08.847,2025-06-12 14:33:09,319.00000,-1,-22.69058,-47.01789,19,Válido,24,13901,0,761,GTERI,2177.20
113,SUR6A68,385349,862689070242307,2025-06-12 14:35:11,2025-06-12 14:35:13.050,2025-06-12 14:35:13,319.00000,0,-22.69131,-47.01734,19,Válido,0,12524,0,668,GTIGF,2177.60
114,SUR6A68,385349,862689070242307,2025-06-12 14:35:12,2025-06-12 14:35:13.420,2025-06-12 14:35:13,319.00000,0,-22.69131,-47.01734,19,Válido,0,12652,0,760,Modo Econômico,2177.60
115,SUR6A68,385349,862689070242307,2025-06-12 14:35:12,2025-06-12 14:38:13.817,2025-06-12 14:37:41,319.00000,32,-22.69131,-47.01734,19,Válido,0,12596,0,667,GTIGN,2177.60
116,SUR6A68,385349,862689070242307,2025-06-12 14:37:48,2025-06-12 14:38:49.543,2025-06-12 14:37:50,101.00000,59,-22.69134,-47.01738,15,Válido,0,12364,0,761,GTERI,2177.60
117,SUR6A68,385349,862689070242307,2025-06-12 14:40:43,2025-06-12 14:40:48.780,2025-06-12 14:40:49,69.00000,-1,-22.69783,-47.01682,18,Válido,13,13308,0,761,GTERI,2178.30
118,SUR6A68,385349,862689070242307,2025-06-12 14:43:43,2025-06-12 14:43:48.910,2025-06-12 14:43:49,188.00000,-1,-22.72773,-47.01468,18,Válido,94,14373,0,761,GTERI,2182.10
119,SUR6A68,385349,862689070242307,2025-06-12 14:46:43,2025-06-12 14:46:50.553,2025-06-12 14:46:49,185.00000,1,-22.76732,-47.02197,18,Válido,81,14429,0,761,GTERI,2186.60
120,SUR6A68,385349,862689070242307,2025-06-12 14:49:43,2025-06-12 14:49:48.900,2025-06-12 14:49:49,184.00000,-1,-22.80129,-47.03278,18,Válido,91,14181,0,761,GTERI,2190.60
121,SUR6A68,385349,862689070242307,2025-06-12 14:52:43,2025-06-12 14:52:49.000,2025-06-12 14:52:49,207.00000,0,-22.83821,-47.03542,18,Válido,84,12540,0,761,GTERI,2195.00
122,SUR6A68,385349,862689070242307,2025-06-12 14:55:44,2025-06-12 14:55:51.397,2025-06-12 14:55:49,261.00000,2,-22.84441,-47.07338,19,Válido,93,12532,0,761,GTERI,2199.30
123,SUR6A68,385349,862689070242307,2025-06-12 14:58:43,2025-06-12 14:58:49.883,2025-06-12 14:58:49,256.00000,0,-22.85309,-47.12117,19,Válido,98,12644,0,761,GTERI,2204.30
124,SUR6A68,385349,862689070242307,2025-06-12 15:01:43,2025-06-12 15:01:49.003,2025-06-12 15:01:49,121.00000,0,-22.86235,-47.13952,19,Válido,59,12820,0,761,GTERI,2208.00
125,SUR6A68,385349,862689070242307,2025-06-12 15:04:43,2025-06-12 15:04:54.433,2025-06-12 15:04:49,180.00000,5,-22.90327,-47.13714,17,Válido,105,12644,0,761,GTERI,2213.00
126,SUR6A68,385349,862689070242307,2025-06-12 15:07:44,2025-06-12 15:07:48.937,2025-06-12 15:07:49,178.00000,-1,-22.94858,-47.12606,18,Válido,108,13180,0,761,GTERI,2218.30
127,SUR6A68,385349,862689070242307,2025-06-12 15:10:43,2025-06-12 15:10:48.957,2025-06-12 15:10:49,174.00000,-1,-22.98988,-47.11157,18,Válido,99,12412,0,761,GTERI,2223.30
128,SUR6A68,385349,862689070242307,2025-06-12 15:13:43,2025-06-12 15:13:48.933,2025-06-12 15:13:49,217.00000,-1,-23.02956,-47.12994,18,Válido,106,12572,0,761,GTERI,2228.30
129,SUR6A68,385349,862689070242307,2025-06-12 15:16:43,2025-06-12 15:16:48.920,2025-06-12 15:16:49,222.00000,-1,-23.06319,-47.15525,19,Válido,42,14157,0,761,GTERI,2232.90
130,SUR6A68,385349,862689070242307,2025-06-12 15:19:43,2025-06-12 15:19:48.757,2025-06-12 15:19:49,223.00000,-1,-23.06983,-47.16166,19,Válido,104,14413,0,761,GTERI,2233.90
131,SUR6A68,385349,862689070242307,2025-06-12 15:22:44,2025-06-12 15:22:50.047,2025-06-12 15:22:49,229.00000,1,-23.10214,-47.19812,18,Válido,98,14101,0,761,GTERI,2239.10
132,SUR6A68,385349,862689070242307,2025-06-12 15:25:43,2025-06-12 15:25:49.980,2025-06-12 15:25:49,228.00000,0,-23.11555,-47.21548,19,Válido,74,12652,0,761,GTERI,2241.50
